Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Rafael Devers","BOS",153,656,33,90,100,5,0.094512195,0.19207317,0.229310345,0.29245283,0.270689655,0.350609756,0.5,0.35917088740012226,0.38,123.81144281873647,-3.8009613915346563,14.915445596730365,-5.822630167007446,3.1292441317370265,"Rafael Devers",17350,646240
"Mike Trout","LAA",82,362,18,54,44,2,0.124309392,0.287292817,0.227272728,0.335106382,0.262987012,0.367403314,0.49025974,0.3678413980536991,0.388,134.0858341533362,1.844898303039372,16.629697364939098,0.8954432718455791,2.974024737133224,"Mike Trout",10155,545361
"Steven Kwan","CLE",158,718,5,93,54,21,0.097493036,0.104456824,0.101880878,0.294326241,0.268025078,0.340306834,0.369905956,0.31304796675702073,0.318,100.1342811054467,1.538972762413323,1.654496779326137,3.0375895500183105,2.9004691845208312,"Steven Kwan",24610,680757
"Zack Gelof","OAK",69,300,14,40,32,14,0.086666666,0.273333333,0.237037037,0.331428571,0.266666666,0.336666666,0.503703703,0.3569595078162126,0.333,133.10150035728736,3.2550111734308302,15.153775510261173,3.497369885444641,2.876251391191032,"Zack Gelof",29766,680869
"Max Muncy","LAD",135,579,36,95,105,1,0.146804835,0.264248704,0.263485477,0.220735785,0.211618257,0.333333333,0.475103734,0.34425442415734997,0.365,118.29433707433483,0.9156526937149465,14.038073471159587,-5.065276861190796,2.8611933372162515,"Max Muncy",13301,571970
"Patrick Bailey","SFG",97,353,7,29,48,1,0.059490084,0.283286118,0.125766871,0.313636363,0.233128834,0.284900284,0.358895705,0.28177785805487565,0.311,77.78341859881421,-0.6701788818463683,-10.385801935246157,26.80633020401001,2.8363055522803045,"Patrick Bailey",27478,672275
"Brandon Lowe","TBR",109,436,21,58,68,7,0.114678899,0.272935779,0.212201592,0.275,0.23076923,0.327981651,0.442970822,0.3339205310432189,0.341,117.07097805152505,1.5832573110237718,10.501469939036129,2.8691099882125854,2.8104531705786298,"Brandon Lowe",18882,664040
"Pete Alonso","NYM",154,658,46,92,118,4,0.098784194,0.229483282,0.286971831,0.205333333,0.216549295,0.317629179,0.503521126,0.34571568987852225,0.37,121.45257883960998,-1.7545640924945474,15.732790622569468,-10.135230422019958,2.792928283600919,"Pete Alonso",19251,624413
"Jeremy Peña","HOU",150,634,10,81,52,13,0.067823343,0.203470031,0.117850953,0.323462414,0.263431542,0.323809523,0.381282495,0.3096045358002849,0.302,96.49320233111698,0.08388897310942411,-2.5801029049195883,9.020809888839722,2.790245702541589,"Jeremy Pena",21636,665161
"Edouard Julien","MIN",109,408,16,60,37,3,0.156862745,0.31372549,0.195266272,0.370558375,0.263313609,0.38083538,0.458579881,0.3659617912564289,0.348,135.9953335452793,0.25997540447860956,17.85700217313878,-3.843959927558899,2.779654070398768,"Edouard Julien",27534,666397
