Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
"85. Wed,7/5 at NYY W (6-3)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Cowser,Mullins,Santander,Kremer,Hicks
"86. Thu,7/6 at NYY W (14-1)",Rutschman,O'Hearn,Westburg,Urías,Henderson,Frazier,Cowser,Santander,Bradish,Mullins
"87. Fri,7/7 at MIN W (3-1)",McCann,Urías,Westburg,Henderson,Mateo,Cowser,Mullins,Santander,Irvin,O'Hearn
"88. Sat,7/8 at MIN W (6-2)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Hays,Hicks,Cowser,Wells,Santander
"89. Sun,7/9 at MIN W (15-2)",Rutschman,O'Hearn,Westburg,Urías,Henderson,Hays,Mullins,Santander,Gibson,Hicks
"90. Fri,7/14 vs MIA W (5-2)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Mullins,Hicks,Kremer,Santander
"93. Mon,7/17 vs LAD L (4-6)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Cowser,Hicks,Santander,Rodriguez,Mountcastle
"94. Tue,7/18 vs LAD L (3-10)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Hicks,Cowser,Wells,Santander
"96. Thu,7/20 at TBR W (4-3)",Rutschman,Santander,Urías,Henderson,Mateo,Hays,Hicks,Cowser,Gibson,O'Hearn
"97. Fri,7/21 at TBR L (0-3)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Cowser,Santander,Bradish,Mountcastle
"99. Sun,7/23 at TBR W (5-3)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Hays,Hicks,Cowser,Wells,Santander
"101. Tue,7/25 at PHI L (3-4)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Cowser,Santander,Gibson,Mountcastle
"103. Fri,7/28 vs NYY W (1-0)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Hays,Cowser,Santander,Rodriguez,Mountcastle
"104. Sat,7/29 vs NYY L (3-8)",Rutschman,O'Hearn,Frazier,Urías,Henderson,Hays,Cowser,Santander,Wells,Mountcastle
"105. Sun,7/30 vs NYY W (9-3)",McCann,O'Hearn,Westburg,Urías,Henderson,Frazier,Hays,Santander,Kremer,Rutschman
"106. Mon,7/31 at TOR W (4-2)",Rutschman,O'Hearn,Frazier,Henderson,Mateo,Hays,Cowser,Santander,Gibson,Mountcastle
"109. Thu,8/3 at TOR W (6-1)",Rutschman,Mountcastle,Frazier,Urías,Henderson,Hays,McKenna,O'Hearn,Flaherty,Santander
"111. Sat,8/5 vs NYM W (7-3)",Rutschman,Mountcastle,Westburg,Urías,Henderson,Cowser,McKenna,O'Hearn,Gibson,Santander
"114. Wed,8/9 vs HOU L (2-8)",Rutschman,O'Hearn,Frazier,Westburg,Henderson,Hays,Cowser,Santander,Flaherty,Mountcastle
"115. Thu,8/10 vs HOU W (5-4)",McCann,Mountcastle,Frazier,Urías,Henderson,O'Hearn,Hays,Santander,Kremer,Rutschman
"116. Fri,8/11 at SEA L (2-9)",Rutschman,Mountcastle,Frazier,Urías,Henderson,Cowser,Mullins,O'Hearn,Gibson,Santander
